age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
51,no,n/a,684,n/a,6,3,n/a,162,1,male,51,3,5,research director,3,n/a,19537,6462,7,no,13,3,0,11,5,3,20,15,15,1972,n/a,yes
52,no,n/a,699,n/a,1,4,life sciences,259,3,male,65,2,5,manager,3,n/a,19999,5678,0,n/a,14,1,1,34,5,3,33,11,9,1971,n/a,yes
42,no,travel_rarely,532,research & development,4,2,technical degree,319,3,male,58,3,5,manager,4,married,19232,4933,1,no,11,4,0,22,3,2,22,11,15,1981,manager  -  research & development,yes
47,no,travel_rarely,359,n/a,2,4,medical,1000,1,female,82,3,4,research director,3,married,17169,26703,3,n/a,19,2,2,11,2,2,20,5,6,1976,n/a,no
46,no,n/a,1319,n/a,3,3,technical degree,1000,1,female,45,4,4,sales executive,1,divorced,6477,7739,2,no,12,4,1,11,5,3,19,2,8,1977,n/a,no
48,no,n/a,117,research & development,22,3,medical,1900,4,female,58,3,4,manager,4,n/a,17174,2437,3,no,11,2,1,11,3,3,22,4,7,1975,manager  -  research & development,yes
59,no,n/a,1435,n/a,25,3,life sciences,81,1,female,99,3,3,sales executive,1,n/a,6477,2354,7,n/a,11,4,0,28,3,2,21,7,9,1964,n/a,yes
42,no,travel_rarely,635,n/a,1,1,n/a,387,2,male,99,3,2,sales executive,3,married,6477,24532,1,no,25,3,0,20,3,3,20,11,6,1981,n/a,no
41,no,n/a,1276,n/a,2,5,n/a,1000,2,female,91,3,4,manager,1,married,16595,5626,7,no,16,2,1,22,2,3,18,11,8,1982,n/a,yes
41,no,travel_frequently,840,n/a,9,3,n/a,999,1,male,64,3,5,research director,3,n/a,6477,3735,2,no,17,2,1,21,2,4,18,0,11,1982,n/a,no
41,no,non_travel,247,n/a,7,1,n/a,1035,2,female,55,1,5,research director,3,n/a,19973,20284,1,no,22,2,2,11,3,3,21,5,10,1982,n/a,no
56,no,travel_rarely,1369,n/a,23,3,life sciences,1000,4,male,68,3,4,manufacturing director,2,married,13402,18235,4,yes,12,1,1,33,0,3,19,15,9,1967,n/a,no
38,no,n/a,201,n/a,10,3,medical,1000,2,female,99,1,3,research director,3,married,13206,3376,3,no,12,1,1,11,3,3,18,1,11,1985,n/a,yes
41,yes,travel_rarely,1360,n/a,12,3,n/a,58,2,female,49,3,5,research director,3,married,19545,16280,1,no,12,4,0,11,0,3,22,15,8,1982,n/a,no
55,no,n/a,692,n/a,14,4,medical,1000,3,male,61,4,5,research director,2,single,6477,13339,8,no,11,4,0,11,3,3,24,2,15,1968,n/a,yes
40,no,travel_rarely,1398,n/a,2,4,n/a,558,3,female,79,3,5,manager,3,n/a,18041,13022,0,no,14,4,0,11,2,3,20,1,12,1983,n/a,no
58,yes,travel_rarely,286,n/a,2,4,n/a,825,4,male,31,3,5,research director,2,single,19246,25761,7,yes,12,4,0,40,2,3,31,13,8,1965,n/a,no
46,no,travel_rarely,1402,n/a,2,3,n/a,1000,3,female,69,3,4,manager,1,n/a,6477,24097,8,n/a,23,1,0,28,2,3,26,15,9,1977,n/a,no
35,no,n/a,819,n/a,13,5,life sciences,1000,2,male,48,4,2,research scientist,1,married,6477,26312,1,n/a,11,4,0,11,2,3,16,1,10,1988,n/a,no
40,no,travel_rarely,884,n/a,15,3,life sciences,1000,1,female,80,2,3,manufacturing director,3,n/a,6477,25800,1,n/a,13,4,2,18,2,2,18,14,12,1983,n/a,yes
45,no,non_travel,1238,research & development,1,1,n/a,1712,3,male,74,2,3,healthcare representative,3,n/a,10748,3395,3,n/a,23,4,1,25,3,2,23,14,4,1978,healthcare representative  -  research & development,no
33,no,n/a,515,n/a,1,2,life sciences,73,1,female,98,3,3,research director,4,single,6477,15146,1,yes,12,3,0,15,1,3,15,8,12,1990,n/a,yes
36,no,n/a,1223,n/a,8,3,n/a,1000,3,female,59,3,3,healthcare representative,3,divorced,6477,8202,1,n/a,13,2,3,17,2,3,17,12,8,1987,n/a,yes
47,no,n/a,202,n/a,2,2,other,820,3,female,33,3,4,manager,4,married,16752,12982,1,n/a,11,3,1,11,3,2,26,3,0,1976,n/a,no
36,no,travel_rarely,928,n/a,42,2,life sciences,1000,42,male,56,3,2,sales executive,4,n/a,6201,2823,1,n/a,14,4,1,18,1,2,18,4,11,1987,n/a,yes
35,no,n/a,607,n/a,9,3,life sciences,1000,4,female,66,2,3,manufacturing director,3,married,6477,23457,1,yes,20,2,1,17,2,3,17,5,15,1988,n/a,no
52,yes,n/a,266,n/a,2,1,n/a,1000,1,female,57,1,5,manager,4,married,19845,25846,1,no,15,4,1,33,3,3,32,6,9,1971,n/a,yes
36,no,n/a,429,n/a,2,4,life sciences,1294,3,female,53,3,2,manufacturing director,2,single,6477,2323,9,yes,11,4,0,18,2,3,16,5,12,1987,n/a,no
33,no,travel_rarely,589,n/a,28,4,life sciences,1000,2,male,79,3,2,laboratory technician,3,married,6477,22949,1,n/a,12,2,1,15,3,3,15,5,7,1990,n/a,yes
