,id,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_department,number_children,remote_work
0,0,51,no,no aplica,0,no aplica,6,3,no aplica,1,1620,1,0,51,3,5, research director ,3,no aplica,0,6462,7,Yes,No,13,3,3,0,0,0,5,3,20,,15,15,"19537,0",1972,1000000000$,,,Yes
1,1,52,no,no aplica,0,no aplica,1,4,life sciences,1,2590,3,0,65,2,5, manager ,3,no aplica,0,5678,0,N/A,N/A,14,3,1,0,1,34,5,3,33,,11,9,"19999,0",1971,1000000000$,,,1
2,2,42,no,travel_rarely,0, research & development ,4,2,technical degree,1,3190,3,0,58,3,5, manager ,4,married,0,4933,1,N/A,No,11,3,4,0,0,22,3,0,22,,11,15,"19232,0",1981,1000000000$, ManaGER  -  Research & Development ,,1
3,3,47,no,travel_rarely,0,no aplica,2,4,medical,1,0,1,1,82,3,4, research director ,3,married,0,26703,3,Yes,N/A,19,3,2,0,2,0,2,0,20,,5,6,"17169,0",1976,1000000000$,,,False
4,4,46,no,no aplica,0,no aplica,3,3,technical degree,1,0,1,1,45,4,4, sales executive ,1,divorced,0,7739,2,Yes,No,12,3,4,0,1,0,5,3,19,,2,8,,1977,1000000000$,,,0
5,5,48,no,no aplica,0, research & development ,22,3,medical,1,19000,4,1,58,3,4, manager ,4,no aplica,0,2437,3,N/A,No,11,3,2,0,1,0,3,3,22,,4,7,"17174,0",1975,1000000000$, MANAger  -  Research & Development ,,Yes
6,6,59,no,no aplica,0,no aplica,25,3,life sciences,1,810,1,1,99,3,3, sales executive ,1,no aplica,0,2354,7,Yes,N/A,11,3,4,0,0,28,3,2,21,,7,9,,1964,1000000000$,,,True
7,7,42,no,travel_rarely,0,no aplica,1,1,no aplica,1,3870,2,0,99,3,2, sales executive ,3,married,0,24532,1,N/A,No,25,4,3,0,0,20,3,3,20,,11,6,,1981,1000000000$,,,0
8,8,41,no,no aplica,0,no aplica,2,5,no aplica,1,0,2,1,91,3,4, manager ,1,married,0,5626,7,N/A,No,16,3,2,0,1,22,2,3,18,,11,8,"16595,0",1982,1000000000$,,,True
9,9,41,no,travel_frequently,0,no aplica,9,3,no aplica,1,9990,1,0,64,3,5, research director ,3,no aplica,0,3735,2,N/A,No,17,3,2,0,1,21,2,4,18,,0,11,,1982,1000000000$,,,0
10,10,41,no,non-travel,0,no aplica,7,1,no aplica,1,10350,2,1,55,1,5, research director ,3,no aplica,0,20284,1,Yes,No,22,4,2,0,2,0,3,3,21,,5,10,"19973,0",1982,1000000000$,,,0
11,11,56,no,travel_rarely,0,no aplica,23,3,life sciences,1,0,4,0,68,3,4, manufacturing director ,2,married,0,18235,4,N/A,Yes,12,0,1,0,1,33,0,3,19,,15,9,"13402,0",1967,1000000000$,,,False
12,12,38,no,no aplica,0,no aplica,10,3,medical,1,0,2,1,99,1,3, research director ,3,married,0,3376,3,Yes,No,12,3,1,0,1,0,3,3,18,,1,11,"13206,0",1985,1000000000$,,,1
13,13,41,yes,travel_rarely,0,no aplica,12,3,no aplica,1,580,2,1,49,3,5, research director ,3,married,0,16280,1,N/A,No,12,3,4,0,0,0,0,3,22,,15,8,"19545,0",1982,1000000000$,,,False
14,14,55,no,no aplica,0,no aplica,14,4,medical,1,0,3,0,61,4,5, research director ,2,single,0,13339,8,N/A,No,11,3,4,0,0,0,3,3,24,,2,15,,1968,1000000000$,,,True
15,15,40,no,travel_rarely,0,no aplica,2,4,no aplica,1,5580,3,1,79,3,5, manager ,3,no aplica,0,13022,0,N/A,No,14,3,4,0,0,0,2,3,20,,1,12,"18041,0",1983,1000000000$,,,0
16,16,58,yes,travel_rarely,0,no aplica,2,4,no aplica,1,8250,4,0,31,3,5, research director ,2,single,0,25761,7,Yes,Yes,12,3,4,0,0,40,2,3,31,,13,8,"19246,0",1965,1000000000$,,,0
17,17,46,no,travel_rarely,0,no aplica,2,3,no aplica,1,0,3,1,69,3,4, manager ,1,no aplica,0,24097,8,N/A,N/A,23,4,1,0,0,28,2,3,26,,15,9,,1977,1000000000$,,,False
18,18,35,no,no aplica,0,no aplica,-13,5,life sciences,1,0,2,0,48,4,2, research scientist ,1,married,0,26312,1,N/A,N/A,11,3,4,0,0,0,2,3,16,,1,10,,1988,1000000000$,,,False
19,19,40,no,travel_rarely,0,no aplica,15,3,life sciences,1,0,1,1,80,2,3, manufacturing director ,3,no aplica,0,25800,1,Yes,N/A,13,3,4,0,2,18,2,0,18,,14,12,,1983,1000000000$,,,True
20,20,45,no,non-travel,0, research & development ,1,1,no aplica,1,17120,3,0,74,2,3, healthcare representative ,3,no aplica,0,3395,3,Yes,N/A,23,4,4,0,1,25,3,2,23,,14,4,"10748,0",1978,1000000000$, heaLtHcArE repResENtATiVe  -  Research & Development ,,False
21,21,33,no,no aplica,0,no aplica,1,2,life sciences,1,730,1,1,98,3,3, research director ,4,single,0,15146,1,N/A,Yes,12,3,3,0,0,15,1,3,15,,8,12,,1990,1000000000$,,,True
22,22,36,no,no aplica,0,no aplica,8,3,no aplica,1,0,3,1,59,3,3, healthcare representative ,3,divorced,0,8202,1,Yes,N/A,13,0,2,0,3,17,2,3,17,,12,8,,1987,1000000000$,,,1
23,23,47,no,no aplica,0,no aplica,2,2,other,1,8200,3,1,33,3,4, manager ,4,married,0,12982,1,N/A,N/A,11,3,3,80,1,0,3,2,26,,3,0,"16752,0",1976,1000000000$,,,False
24,24,36,no,travel_rarely,0,no aplica,-42,2,life sciences,1,0,42,0,56,3,2, sales executive ,4,no aplica,0,2823,1,Yes,N/A,14,3,4,0,1,18,1,0,18,,4,11,"6201,0",1987,1000000000$,,,True
25,25,35,no,no aplica,0,no aplica,9,3,life sciences,1,0,4,1,66,2,3, manufacturing director ,3,married,0,23457,1,Yes,Yes,20,4,2,80,1,17,2,3,17,,5,15,,1988,1000000000$,,,False
26,26,52,yes,no aplica,0,no aplica,2,1,no aplica,1,0,1,1,57,1,5, manager ,4,married,0,25846,1,Yes,No,15,3,4,0,1,33,3,3,32,,6,9,"19845,0",1971,1000000000$,,,1
27,27,36,no,no aplica,0,no aplica,2,4,life sciences,1,12940,3,1,53,3,2, manufacturing director ,2,single,0,2323,9,Yes,Yes,11,3,4,0,0,18,2,3,16,,5,12,,1987,1000000000$,,,0
28,28,33,no,travel_rarely,0,no aplica,28,4,life sciences,1,0,2,0,79,3,2, laboratory technician ,3,married,0,22949,1,Yes,N/A,12,3,2,0,1,15,3,3,15,,5,7,,1990,1000000000$,,,Yes
29,29,34,no,non-travel,0, sales ,10,3,life sciences,1,17740,4,0,87,3,2, sales executive ,3,no aplica,0,12313,1,Yes,Yes,14,3,3,0,1,15,3,3,15,,0,7,"4001,0",1989,1000000000$, saLEs exEcutIVe  -  Sales ,,1
30,30,41,no,no aplica,0, sales ,-37,1,no aplica,1,18150,37,1,81,3,3, sales executive ,3,divorced,0,26458,0,N/A,N/A,13,3,4,0,1,0,3,4,22,,13,5,"10447,0",1982,1000000000$, Sales ExECuTIVe  -  Sales ,,Yes
31,31,0,no,no aplica,0, research & development ,25,3,medical,1,19930,1,0,84,3,3, healthcare representative ,3,no aplica,0,13084,2,N/A,N/A,23,4,2,0,0,25,3,3,17,,12,11,,1976,1000000000$, heALthCArE RePResEntaTIVe  -  Research & Development ,,Yes
32,32,53,no,travel_rarely,0,no aplica,5,3,no aplica,1,320,3,1,58,3,5, manager ,3,no aplica,0,10735,4,N/A,N/A,11,3,4,0,1,26,3,2,14,,4,8,,1970,1000000000$,,,Yes
33,33,35,no,no aplica,0,no aplica,1,4,marketing,1,1000,3,0,32,2,2, sales executive ,1,single,0,23016,0,Yes,No,14,0,2,80,0,16,2,3,15,,2,8,,1988,1000000000$,,,0
34,34,34,no,travel_rarely,0,no aplica,6,4,other,1,0,1,1,41,3,2, research scientist ,3,single,0,12482,1,Yes,N/A,14,3,3,0,0,16,3,3,16,,2,10,,1989,1000000000$,,,True
35,35,46,no,travel_rarely,0,no aplica,1,2,no aplica,1,2440,2,1,92,3,3, sales executive ,1,divorced,0,2137,1,N/A,No,25,4,3,0,3,24,2,3,24,,15,7,,1977,1000000000$,,,Yes
36,36,43,no,no aplica,0,no aplica,16,3,no aplica,1,3270,4,1,80,3,4, manager ,4,married,0,7744,5,N/A,N/A,22,4,3,0,1,22,3,3,17,,1,9,"16064,0",1980,1000000000$,,,1
37,37,36,no,no aplica,0, research & development ,6,3,life sciences,1,3730,4,0,47,3,1, laboratory technician ,4,married,0,20251,0,N/A,N/A,11,3,3,0,1,16,4,3,15,,10,11,"3210,0",1987,1000000000$, lABORAtOry tECHnIcIan  -  Research & Development ,,True
38,38,60,no,travel_frequently,0,no aplica,28,3,no aplica,1,0,3,1,80,2,3, sales executive ,1,married,0,2845,4,Yes,No,19,3,4,0,0,22,5,4,18,"13,0",13,11,"10266,0",1963,1000000000$,,,1
39,39,40,no,travel_frequently,0,no aplica,5,4,no aplica,1,7290,4,0,48,2,3, sales executive ,1,married,0,23772,5,N/A,Yes,21,4,3,80,1,20,2,3,18,,1,12,"10475,0",1983,1000000000$,,,0
40,40,32,no,travel_rarely,0,no aplica,4,3,no aplica,1,8300,3,1,98,2,2, manufacturing director ,3,married,0,19124,1,Yes,No,12,3,3,80,1,14,3,3,14,,6,8,"6162,0",1991,1000000000$,,,0
41,41,41,no,travel_rarely,0,no aplica,-35,3,no aplica,1,0,35,0,59,3,1, laboratory technician ,1,single,0,3119,2,N/A,Yes,13,0,3,0,0,20,3,3,18,,2,17,"4721,0",1982,1000000000$,,,1
42,42,53,no,no aplica,0,no aplica,2,2,medical,1,9810,3,0,0,3,4, manager ,3,divorced,0,13938,6,N/A,No,13,3,3,0,1,22,3,4,17,,15,2,,1970,1000000000$,,,False
43,43,36,yes,travel_rarely,0,no aplica,16,4,no aplica,1,10420,3,1,43,4,1, laboratory technician ,1,single,0,8269,1,Yes,N/A,16,3,3,80,0,18,1,3,17,,15,14,,1987,1000000000$,,,Yes
44,44,46,no,no aplica,0,no aplica,8,4,life sciences,1,10800,4,1,74,2,2, research scientist ,1,divorced,0,21029,8,N/A,Yes,23,4,1,0,3,0,2,3,16,,1,7,"4615,0",1977,1000000000$,,,0
45,45,38,no,travel_rarely,0,no aplica,1,4,no aplica,1,19950,4,0,86,3,2, sales executive ,2,married,0,7636,0,N/A,No,15,3,1,0,2,16,3,0,15,,5,8,,1985,1000000000$,,,1
46,46,51,no,no aplica,0,no aplica,1,4,no aplica,1,1450,1,1,30,2,3, healthcare representative ,1,single,0,25796,3,N/A,N/A,20,4,3,0,0,23,1,2,13,,12,8,,1972,1000000000$,,,True
47,47,43,no,no aplica,0,no aplica,26,2,no aplica,1,1580,3,0,92,3,4, manager ,4,married,0,19494,1,N/A,Yes,12,3,4,80,2,25,3,4,25,,4,12,"16959,0",1980,1000000000$,,,1
48,48,37,no,no aplica,0,no aplica,1,3,life sciences,1,3910,4,1,42,3,1, research scientist ,4,single,0,15881,1,N/A,No,12,3,2,80,0,0,3,3,17,,5,7,,1986,1000000000$,,,Yes
49,49,32,no,travel_rarely,0,no aplica,8,2,technical degree,1,4360,3,1,65,2,2, sales executive ,2,married,0,24624,1,N/A,Yes,11,3,4,80,0,0,2,3,13,"12,0",11,9,,1991,1000000000$,,,True
50,50,38,no,no aplica,0,no aplica,1,3,no aplica,1,0,4,1,80,3,3, research director ,1,married,0,16292,1,N/A,N/A,13,3,2,0,1,15,3,3,15,,5,11,,1985,1000000000$,,,False
51,51,46,no,no aplica,0,no aplica,3,3,life sciences,1,15270,3,1,51,3,4, manager ,2,no aplica,0,11380,8,N/A,No,12,3,4,80,1,23,2,4,13,,5,1,,1977,1000000000$,,,Yes
52,52,35,yes,travel_rarely,0,no aplica,10,3,medical,1,0,4,0,55,2,3, sales executive ,1,married,0,21530,9,N/A,N/A,17,3,3,0,0,15,3,0,13,,6,0,"10306,0",1988,1000000000$,,,0
53,53,43,no,no aplica,0,no aplica,6,3,medical,1,18660,1,1,81,2,5, manager ,3,married,0,22539,7,N/A,No,13,3,4,0,0,21,2,3,16,,6,14,,1980,1000000000$,,,Yes
54,54,56,no,non-travel,0,no aplica,1,4,life sciences,1,20260,3,0,57,3,2, healthcare representative ,3,divorced,0,26236,1,Yes,No,21,0,1,0,1,0,2,2,13,,1,9,,1967,1000000000$,,,Yes
55,55,36,no,non-travel,0,no aplica,15,4,marketing,1,0,4,0,88,1,2, sales executive ,4,divorced,0,10436,1,Yes,No,24,4,1,80,1,0,4,2,15,,11,11,"5406,0",1987,1000000000$,,,1
56,56,38,no,no aplica,0,no aplica,6,3,medical,1,1070,2,1,79,1,2, research scientist ,4,no aplica,0,15717,7,Yes,N/A,12,3,4,0,3,17,3,3,13,,1,9,,1985,1000000000$,,,Yes
57,57,49,no,no aplica,0,no aplica,-26,4,medical,1,1700,3,1,96,3,2, manufacturing director ,1,no aplica,0,5549,1,N/A,No,14,3,3,0,0,16,2,2,15,,5,11,,1974,1000000000$,,,0
58,58,39,no,travel_rarely,0,no aplica,4,4,life sciences,1,0,4,1,47,2,2, sales executive ,3,married,0,14590,4,N/A,N/A,14,3,3,80,1,17,1,4,15,,5,9,"5902,0",1984,1000000000$,,,Yes
