,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
0,51,no,n/a,684,n/a,6,3,n/a,1620,1,male,51,3,5,research director,3,n/a,19537,6462,7,no,13,3,0,11,5,3,20,15,15,1972,n/a,yes
1,52,no,n/a,699,n/a,1,4,life sciences,2590,3,male,65,2,5,manager,3,n/a,19999,5678,0,n/a,14,1,1,34,5,3,33,11,9,1971,n/a,yes
2,42,no,travel_rarely,532,research & development,4,2,technical degree,3190,3,male,58,3,5,manager,4,married,19232,4933,1,no,11,4,0,22,3,2,22,11,15,1981,manager  -  research & development,yes
3,47,no,travel_rarely,359,n/a,2,4,medical,20681,1,female,82,3,4,research director,3,married,17169,26703,3,n/a,19,2,2,11,2,2,20,5,6,1976,n/a,no
4,46,no,n/a,1319,n/a,3,3,technical degree,20682,1,female,45,4,4,sales executive,1,divorced,6477,7739,2,no,12,4,1,11,5,3,19,2,8,1977,n/a,no
5,48,no,n/a,117,research & development,22,3,medical,19000,4,female,58,3,4,manager,4,n/a,17174,2437,3,no,11,2,1,11,3,3,22,4,7,1975,manager  -  research & development,yes
6,59,no,n/a,1435,n/a,25,3,life sciences,810,1,female,99,3,3,sales executive,1,n/a,6477,2354,7,n/a,11,4,0,28,3,2,21,7,9,1964,n/a,yes
7,42,no,travel_rarely,635,n/a,1,1,n/a,3870,2,male,99,3,2,sales executive,3,married,6477,24532,1,no,25,3,0,20,3,3,20,11,6,1981,n/a,no
8,41,no,n/a,1276,n/a,2,5,n/a,20683,2,female,91,3,4,manager,1,married,16595,5626,7,no,16,2,1,22,2,3,18,11,8,1982,n/a,yes
9,41,no,travel_frequently,840,n/a,9,3,n/a,9990,1,male,64,3,5,research director,3,n/a,6477,3735,2,no,17,2,1,21,2,4,18,0,11,1982,n/a,no
10,41,no,non_travel,247,n/a,7,1,n/a,10350,2,female,55,1,5,research director,3,n/a,19973,20284,1,no,22,2,2,11,3,3,21,5,10,1982,n/a,no
11,56,no,travel_rarely,1369,n/a,23,3,life sciences,20684,4,male,68,3,4,manufacturing director,2,married,13402,18235,4,yes,12,1,1,33,0,3,19,15,9,1967,n/a,no
12,38,no,n/a,201,n/a,10,3,medical,20685,2,female,99,1,3,research director,3,married,13206,3376,3,no,12,1,1,11,3,3,18,1,11,1985,n/a,yes
13,41,yes,travel_rarely,1360,n/a,12,3,n/a,580,2,female,49,3,5,research director,3,married,19545,16280,1,no,12,4,0,11,0,3,22,15,8,1982,n/a,no
14,55,no,n/a,692,n/a,14,4,medical,20686,3,male,61,4,5,research director,2,single,6477,13339,8,no,11,4,0,11,3,3,24,2,15,1968,n/a,yes
15,40,no,travel_rarely,1398,n/a,2,4,n/a,5580,3,female,79,3,5,manager,3,n/a,18041,13022,0,no,14,4,0,11,2,3,20,1,12,1983,n/a,no
16,58,yes,travel_rarely,286,n/a,2,4,n/a,8250,4,male,31,3,5,research director,2,single,19246,25761,7,yes,12,4,0,40,2,3,31,13,8,1965,n/a,no
17,46,no,travel_rarely,1402,n/a,2,3,n/a,20687,3,female,69,3,4,manager,1,n/a,6477,24097,8,n/a,23,1,0,28,2,3,26,15,9,1977,n/a,no
18,35,no,n/a,819,n/a,13,5,life sciences,20688,2,male,48,4,2,research scientist,1,married,6477,26312,1,n/a,11,4,0,11,2,3,16,1,10,1988,n/a,no
19,40,no,travel_rarely,884,n/a,15,3,life sciences,20689,1,female,80,2,3,manufacturing director,3,n/a,6477,25800,1,n/a,13,4,2,18,2,2,18,14,12,1983,n/a,yes
20,45,no,non_travel,1238,research & development,1,1,n/a,17120,3,male,74,2,3,healthcare representative,3,n/a,10748,3395,3,n/a,23,4,1,25,3,2,23,14,4,1978,healthcare representative  -  research & development,no
21,33,no,n/a,515,n/a,1,2,life sciences,730,1,female,98,3,3,research director,4,single,6477,15146,1,yes,12,3,0,15,1,3,15,8,12,1990,n/a,yes
22,36,no,n/a,1223,n/a,8,3,n/a,20690,3,female,59,3,3,healthcare representative,3,divorced,6477,8202,1,n/a,13,2,3,17,2,3,17,12,8,1987,n/a,yes
23,47,no,n/a,202,n/a,2,2,other,8200,3,female,33,3,4,manager,4,married,16752,12982,1,n/a,11,3,1,11,3,2,26,3,0,1976,n/a,no
24,36,no,travel_rarely,928,n/a,42,2,life sciences,20691,42,male,56,3,2,sales executive,4,n/a,6201,2823,1,n/a,14,4,1,18,1,2,18,4,11,1987,n/a,yes
25,35,no,n/a,607,n/a,9,3,life sciences,20692,4,female,66,2,3,manufacturing director,3,married,6477,23457,1,yes,20,2,1,17,2,3,17,5,15,1988,n/a,no
26,52,yes,n/a,266,n/a,2,1,n/a,20693,1,female,57,1,5,manager,4,married,19845,25846,1,no,15,4,1,33,3,3,32,6,9,1971,n/a,yes
27,36,no,n/a,429,n/a,2,4,life sciences,12940,3,female,53,3,2,manufacturing director,2,single,6477,2323,9,yes,11,4,0,18,2,3,16,5,12,1987,n/a,no
28,33,no,travel_rarely,589,n/a,28,4,life sciences,20694,2,male,79,3,2,laboratory technician,3,married,6477,22949,1,n/a,12,2,1,15,3,3,15,5,7,1990,n/a,yes
29,34,no,non_travel,802,sales,10,3,life sciences,17740,4,male,87,3,2,sales executive,3,n/a,4001,12313,1,yes,14,3,1,15,3,3,15,0,7,1989,sales executive  -  sales,yes
30,41,no,n/a,802,sales,37,1,n/a,18150,37,female,81,3,3,sales executive,3,divorced,10447,26458,0,n/a,13,4,1,11,3,4,22,13,5,1982,sales executive  -  sales,yes
31,47,no,n/a,1180,research & development,25,3,medical,19930,1,male,84,3,3,healthcare representative,3,n/a,6477,13084,2,n/a,23,2,0,25,3,3,17,12,11,1976,healthcare representative  -  research & development,yes
32,53,no,travel_rarely,1282,n/a,5,3,n/a,320,3,female,58,3,5,manager,3,n/a,6477,10735,4,n/a,11,4,1,26,3,2,14,4,8,1970,n/a,yes
33,35,no,n/a,776,n/a,1,4,marketing,1000,3,male,32,2,2,sales executive,1,single,6477,23016,0,no,14,2,0,16,2,3,15,2,8,1988,n/a,no
34,34,no,travel_rarely,665,n/a,6,4,other,20695,1,female,41,3,2,research scientist,3,single,6477,12482,1,n/a,14,3,0,16,3,3,16,2,10,1989,n/a,yes
35,46,no,travel_rarely,526,n/a,1,2,n/a,2440,2,female,92,3,3,sales executive,1,divorced,6477,2137,1,no,25,3,3,24,2,3,24,15,7,1977,n/a,yes
36,43,no,n/a,1034,n/a,16,3,n/a,3270,4,female,80,3,4,manager,4,married,16064,7744,5,n/a,22,3,1,22,3,3,17,1,9,1980,n/a,yes
37,36,no,n/a,1403,research & development,6,3,life sciences,3730,4,male,47,3,1,laboratory technician,4,married,3210,20251,0,n/a,11,3,1,16,4,3,15,10,11,1987,laboratory technician  -  research & development,yes
38,60,no,travel_frequently,1499,n/a,28,3,n/a,20696,3,female,80,2,3,sales executive,1,married,10266,2845,4,no,19,4,0,22,5,4,18,13,11,1963,n/a,yes
39,40,no,travel_frequently,580,n/a,5,4,n/a,7290,4,male,48,2,3,sales executive,1,married,10475,23772,5,yes,21,3,1,20,2,3,18,1,12,1983,n/a,no
40,32,no,travel_rarely,859,n/a,4,3,n/a,8300,3,female,98,2,2,manufacturing director,3,married,6162,19124,1,no,12,3,1,14,3,3,14,6,8,1991,n/a,no
41,41,no,travel_rarely,263,n/a,35,3,n/a,20697,35,male,59,3,1,laboratory technician,1,single,4721,3119,2,yes,13,3,0,20,3,3,18,2,17,1982,n/a,yes
42,53,no,n/a,1376,n/a,2,2,medical,9810,3,male,0,3,4,manager,3,divorced,6477,13938,6,no,13,3,1,22,3,4,17,15,2,1970,n/a,no
43,36,yes,travel_rarely,885,n/a,16,4,n/a,10420,3,female,43,4,1,laboratory technician,1,single,6477,8269,1,n/a,16,3,0,18,1,3,17,15,14,1987,n/a,yes
44,46,no,n/a,1003,n/a,8,4,life sciences,10800,4,female,74,2,2,research scientist,1,divorced,4615,21029,8,yes,23,1,3,11,2,3,16,1,7,1977,n/a,no
45,38,no,travel_rarely,1321,n/a,1,4,n/a,19950,4,male,86,3,2,sales executive,2,married,6477,7636,0,no,15,1,2,16,3,2,15,5,8,1985,n/a,yes
46,51,no,n/a,802,n/a,1,4,n/a,1450,1,female,30,2,3,healthcare representative,1,single,6477,25796,3,n/a,20,3,0,23,1,2,13,12,8,1972,n/a,yes
47,43,no,n/a,394,n/a,26,2,n/a,1580,3,male,92,3,4,manager,4,married,16959,19494,1,yes,12,4,2,25,3,4,25,4,12,1980,n/a,yes
48,37,no,n/a,1372,n/a,1,3,life sciences,3910,4,female,42,3,1,research scientist,4,single,6477,15881,1,no,12,2,0,11,3,3,17,5,7,1986,n/a,yes
49,32,no,travel_rarely,802,n/a,8,2,technical degree,4360,3,female,65,2,2,sales executive,2,married,6477,24624,1,yes,11,4,0,11,2,3,13,11,9,1991,n/a,yes
50,38,no,n/a,1333,n/a,1,3,n/a,20698,4,female,80,3,3,research director,1,married,6477,16292,1,n/a,13,2,1,15,3,3,15,5,11,1985,n/a,no
51,46,no,n/a,228,n/a,3,3,life sciences,15270,3,female,51,3,4,manager,2,n/a,6477,11380,8,no,12,4,1,23,2,4,13,5,1,1977,n/a,yes
52,35,yes,travel_rarely,737,n/a,10,3,medical,20699,4,male,55,2,3,sales executive,1,married,10306,21530,9,n/a,17,3,0,15,3,2,13,6,0,1988,n/a,no
53,43,no,n/a,823,n/a,6,3,medical,18660,1,female,81,2,5,manager,3,married,6477,22539,7,no,13,4,0,21,2,3,16,6,14,1980,n/a,yes
54,56,no,non_travel,667,n/a,1,4,life sciences,20260,3,male,57,3,2,healthcare representative,3,divorced,6477,26236,1,no,21,1,1,11,2,2,13,1,9,1967,n/a,yes
55,36,no,non_travel,301,n/a,15,4,marketing,20700,4,male,88,1,2,sales executive,4,divorced,5406,10436,1,no,24,1,1,11,4,2,15,11,11,1987,n/a,yes
56,38,no,n/a,573,n/a,6,3,medical,1070,2,female,79,1,2,research scientist,4,n/a,6477,15717,7,n/a,12,4,3,17,3,3,13,1,9,1985,n/a,yes
57,49,no,n/a,802,n/a,26,4,medical,1700,3,female,96,3,2,manufacturing director,1,n/a,6477,5549,1,no,14,3,0,16,2,2,15,5,11,1974,n/a,no
58,39,no,travel_rarely,1329,n/a,4,4,life sciences,20701,4,female,47,2,2,sales executive,3,married,5902,14590,4,n/a,14,3,1,17,1,4,15,5,9,1984,n/a,yes
59,40,no,n/a,630,n/a,4,4,n/a,2150,3,male,67,2,3,sales executive,4,married,10855,8552,7,no,11,1,1,15,2,2,12,2,11,1983,n/a,yes
