,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
0,51,no,N/A,684,N/A,6,3,N/A,162,1,male,51,3,5, research director ,3,N/A,19537.0,6462,7,no,13,3,0,5,3,20,15,15,1972,N/A,yes
1,52,no,N/A,699,N/A,1,4,life sciences,259,3,male,65,2,5, manager ,3,N/A,19999.0,5678,0,N/A,14,1,1,5,3,33,11,9,1971,N/A,no
2,42,no,travel_rarely,532, research & development ,4,2,technical degree,319,3,male,58,3,5, manager ,4,married,19232.0,4933,1,no,11,4,0,3,0,22,11,15,1981, manager  -  research & development ,no
3,47,no,travel_rarely,359,N/A,2,4,medical,2069,1,female,82,3,4, research director ,3,married,17169.0,26703,3,N/A,19,2,2,2,0,20,5,6,1976,N/A,no
4,46,no,N/A,1319,N/A,3,3,technical degree,2070,1,female,45,4,4, sales executive ,1,divorced,0.0,7739,2,no,12,4,1,5,3,19,2,8,1977,N/A,no
5,48,no,N/A,117, research & development ,22,3,medical,1900,4,female,58,3,4, manager ,4,N/A,17174.0,2437,3,no,11,2,1,3,3,22,4,7,1975, manager  -  research & development ,yes
6,59,no,N/A,1435,N/A,25,3,life sciences,81,1,female,99,3,3, sales executive ,1,N/A,0.0,2354,7,N/A,11,4,0,3,2,21,7,9,1964,N/A,no
7,42,no,travel_rarely,635,N/A,1,1,N/A,387,2,male,99,3,2, sales executive ,3,married,0.0,24532,1,no,25,3,0,3,3,20,11,6,1981,N/A,no
8,41,no,N/A,1276,N/A,2,5,N/A,2071,2,female,91,3,4, manager ,1,married,16595.0,5626,7,no,16,2,1,2,3,18,11,8,1982,N/A,no
9,41,no,travel_frequently,840,N/A,9,3,N/A,999,1,male,64,3,5, research director ,3,N/A,0.0,3735,2,no,17,2,1,2,4,18,0,11,1982,N/A,no
10,41,no,non-travel,247,N/A,7,1,N/A,1035,2,female,55,1,5, research director ,3,N/A,19973.0,20284,1,no,22,2,2,3,3,21,5,10,1982,N/A,no
11,56,no,travel_rarely,1369,N/A,23,3,life sciences,2072,4,male,68,3,4, manufacturing director ,2,married,13402.0,18235,4,yes,12,1,1,0,3,19,15,9,1967,N/A,no
12,38,no,N/A,201,N/A,10,3,medical,2073,2,female,99,1,3, research director ,3,married,13206.0,3376,3,no,12,1,1,3,3,18,1,11,1985,N/A,no
13,41,yes,travel_rarely,1360,N/A,12,3,N/A,58,2,female,49,3,5, research director ,3,married,19545.0,16280,1,no,12,4,0,0,3,22,15,8,1982,N/A,no
14,55,no,N/A,692,N/A,14,4,medical,2074,3,male,61,4,5, research director ,2,single,0.0,13339,8,no,11,4,0,3,3,24,2,15,1968,N/A,no
15,40,no,travel_rarely,1398,N/A,2,4,N/A,558,3,female,79,3,5, manager ,3,N/A,18041.0,13022,0,no,14,4,0,2,3,20,1,12,1983,N/A,no
16,58,yes,travel_rarely,286,N/A,2,4,N/A,825,4,male,31,3,5, research director ,2,single,19246.0,25761,7,yes,12,4,0,2,3,31,13,8,1965,N/A,no
17,46,no,travel_rarely,1402,N/A,2,3,N/A,2075,3,female,69,3,4, manager ,1,N/A,0.0,24097,8,N/A,23,1,0,2,3,26,15,9,1977,N/A,no
18,35,no,N/A,819,N/A,0,5,life sciences,2076,2,male,48,4,2, research scientist ,1,married,0.0,26312,1,N/A,11,4,0,2,3,16,1,10,1988,N/A,no
