,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
0,51,no,,684,,6,3,,162,1,male,51,3,5, research director ,3,,19537.0,6462,7,no,13,3,0,0,5,3,20,15,15,1972,,yes
1,52,no,,699,,1,4,life sciences,259,3,male,65,2,5, manager ,3,,19999.0,5678,0,,14,1,1,34,5,3,33,11,9,1971,,no
2,42,no,travel_rarely,532, research & development ,4,2,technical degree,319,3,male,58,3,5, manager ,4,married,19232.0,4933,1,no,11,4,0,22,3,0,22,11,15,1981, manager  -  research & development ,no
3,47,no,travel_rarely,359,,2,4,medical,2069,1,female,82,3,4, research director ,3,married,17169.0,26703,3,,19,2,2,0,2,0,20,5,6,1976,,no
4,46,no,,1319,,3,3,technical degree,2070,1,female,45,4,4, sales executive ,1,divorced,0.0,7739,2,no,12,4,1,0,5,3,19,2,8,1977,,no
5,48,no,,117, research & development ,22,3,medical,1900,4,female,58,3,4, manager ,4,,17174.0,2437,3,no,11,2,1,0,3,3,22,4,7,1975, manager  -  research & development ,yes
6,59,no,,1435,,25,3,life sciences,81,1,female,99,3,3, sales executive ,1,,0.0,2354,7,,11,4,0,28,3,2,21,7,9,1964,,no
7,42,no,travel_rarely,635,,1,1,,387,2,male,99,3,2, sales executive ,3,married,0.0,24532,1,no,25,3,0,20,3,3,20,11,6,1981,,no
8,41,no,,1276,,2,5,,2071,2,female,91,3,4, manager ,1,married,16595.0,5626,7,no,16,2,1,22,2,3,18,11,8,1982,,no
9,41,no,travel_frequently,840,,9,3,,999,1,male,64,3,5, research director ,3,,0.0,3735,2,no,17,2,1,21,2,4,18,0,11,1982,,no
10,41,no,non-travel,247,,7,1,,1035,2,female,55,1,5, research director ,3,,19973.0,20284,1,no,22,2,2,0,3,3,21,5,10,1982,,no
11,56,no,travel_rarely,1369,,23,3,life sciences,2072,4,male,68,3,4, manufacturing director ,2,married,13402.0,18235,4,yes,12,1,1,33,0,3,19,15,9,1967,,no
12,38,no,,201,,10,3,medical,2073,2,female,99,1,3, research director ,3,married,13206.0,3376,3,no,12,1,1,0,3,3,18,1,11,1985,,no
13,41,yes,travel_rarely,1360,,12,3,,58,2,female,49,3,5, research director ,3,married,19545.0,16280,1,no,12,4,0,0,0,3,22,15,8,1982,,no
14,55,no,,692,,14,4,medical,2074,3,male,61,4,5, research director ,2,single,0.0,13339,8,no,11,4,0,0,3,3,24,2,15,1968,,no
15,40,no,travel_rarely,1398,,2,4,,558,3,female,79,3,5, manager ,3,,18041.0,13022,0,no,14,4,0,0,2,3,20,1,12,1983,,no
16,58,yes,travel_rarely,286,,2,4,,825,4,male,31,3,5, research director ,2,single,19246.0,25761,7,yes,12,4,0,40,2,3,31,13,8,1965,,no
17,46,no,travel_rarely,1402,,2,3,,2075,3,female,69,3,4, manager ,1,,0.0,24097,8,,23,1,0,28,2,3,26,15,9,1977,,no
18,35,no,,819,,0,5,life sciences,2076,2,male,48,4,2, research scientist ,1,married,0.0,26312,1,,11,4,0,0,2,3,16,1,10,1988,,no
19,40,no,travel_rarely,884,,15,3,life sciences,2077,1,female,80,2,3, manufacturing director ,3,,0.0,25800,1,,13,4,2,18,2,0,18,14,12,1983,,no
20,45,no,non-travel,1238, research & development ,1,1,,1712,3,male,74,2,3, healthcare representative ,3,,10748.0,3395,3,,23,4,1,25,3,2,23,14,4,1978, healthcare representative  -  research & development ,no
21,33,no,,515,,1,2,life sciences,73,1,female,98,3,3, research director ,4,single,0.0,15146,1,yes,12,3,0,15,1,3,15,8,12,1990,,no
22,36,no,,1223,,8,3,,2078,3,female,59,3,3, healthcare representative ,3,divorced,0.0,8202,1,,13,2,3,17,2,3,17,12,8,1987,,no
23,47,no,,202,,2,2,other,820,3,female,33,3,4, manager ,4,married,16752.0,12982,1,,11,3,1,0,3,2,26,3,0,1976,,no
24,36,no,travel_rarely,928,,0,2,life sciences,2079,42,male,56,3,2, sales executive ,4,,6201.0,2823,1,,14,4,1,18,1,0,18,4,11,1987,,no
25,35,no,,607,,9,3,life sciences,2080,4,female,66,2,3, manufacturing director ,3,married,0.0,23457,1,yes,20,2,1,17,2,3,17,5,15,1988,,no
26,52,yes,,266,,2,1,,2081,1,female,57,1,5, manager ,4,married,19845.0,25846,1,no,15,4,1,33,3,3,32,6,9,1971,,no
27,36,no,,429,,2,4,life sciences,1294,3,female,53,3,2, manufacturing director ,2,single,0.0,2323,9,yes,11,4,0,18,2,3,16,5,12,1987,,no
28,33,no,travel_rarely,589,,28,4,life sciences,2082,2,male,79,3,2, laboratory technician ,3,married,0.0,22949,1,,12,2,1,15,3,3,15,5,7,1990,,yes
29,34,no,non-travel,0, sales ,10,3,life sciences,1774,4,male,87,3,2, sales executive ,3,,4001.0,12313,1,yes,14,3,1,15,3,3,15,0,7,1989, sales executive  -  sales ,no
30,41,no,,0, sales ,0,1,,1815,37,female,81,3,3, sales executive ,3,divorced,10447.0,26458,0,,13,4,1,0,3,4,22,13,5,1982, sales executive  -  sales ,yes
31,0,no,,1180, research & development ,25,3,medical,1993,1,male,84,3,3, healthcare representative ,3,,0.0,13084,2,,23,2,0,25,3,3,17,12,11,1976, healthcare representative  -  research & development ,yes
32,53,no,travel_rarely,1282,,5,3,,32,3,female,58,3,5, manager ,3,,0.0,10735,4,,11,4,1,26,3,2,14,4,8,1970,,yes
33,35,no,,776,,1,4,marketing,100,3,male,32,2,2, sales executive ,1,single,0.0,23016,0,no,14,2,0,16,2,3,15,2,8,1988,,no
34,34,no,travel_rarely,665,,6,4,other,2083,1,female,41,3,2, research scientist ,3,single,0.0,12482,1,,14,3,0,16,3,3,16,2,10,1989,,no
35,46,no,travel_rarely,526,,1,2,,244,2,female,92,3,3, sales executive ,1,divorced,0.0,2137,1,no,25,3,3,24,2,3,24,15,7,1977,,yes
36,43,no,,1034,,16,3,,327,4,female,80,3,4, manager ,4,married,16064.0,7744,5,,22,3,1,22,3,3,17,1,9,1980,,no
37,36,no,,1403, research & development ,6,3,life sciences,373,4,male,47,3,1, laboratory technician ,4,married,3210.0,20251,0,,11,3,1,16,4,3,15,10,11,1987, laboratory technician  -  research & development ,no
38,60,no,travel_frequently,1499,,28,3,,2084,3,female,80,2,3, sales executive ,1,married,10266.0,2845,4,no,19,4,0,22,5,4,18,13,11,1963,,no
39,40,no,travel_frequently,580,,5,4,,729,4,male,48,2,3, sales executive ,1,married,10475.0,23772,5,yes,21,3,1,20,2,3,18,1,12,1983,,no
40,32,no,travel_rarely,859,,4,3,,830,3,female,98,2,2, manufacturing director ,3,married,6162.0,19124,1,no,12,3,1,14,3,3,14,6,8,1991,,no
41,41,no,travel_rarely,263,,0,3,,2085,35,male,59,3,1, laboratory technician ,1,single,4721.0,3119,2,yes,13,3,0,20,3,3,18,2,17,1982,,no
42,53,no,,1376,,2,2,medical,981,3,male,0,3,4, manager ,3,divorced,0.0,13938,6,no,13,3,1,22,3,4,17,15,2,1970,,no
43,36,yes,travel_rarely,885,,16,4,,1042,3,female,43,4,1, laboratory technician ,1,single,0.0,8269,1,,16,3,0,18,1,3,17,15,14,1987,,yes
44,46,no,,1003,,8,4,life sciences,1080,4,female,74,2,2, research scientist ,1,divorced,4615.0,21029,8,yes,23,1,3,0,2,3,16,1,7,1977,,no
45,38,no,travel_rarely,1321,,1,4,,1995,4,male,86,3,2, sales executive ,2,married,0.0,7636,0,no,15,1,2,16,3,0,15,5,8,1985,,no
46,51,no,,0,,1,4,,145,1,female,30,2,3, healthcare representative ,1,single,0.0,25796,3,,20,3,0,23,1,2,13,12,8,1972,,no
47,43,no,,394,,26,2,,158,3,male,92,3,4, manager ,4,married,16959.0,19494,1,yes,12,4,2,25,3,4,25,4,12,1980,,no
48,37,no,,1372,,1,3,life sciences,391,4,female,42,3,1, research scientist ,4,single,0.0,15881,1,no,12,2,0,0,3,3,17,5,7,1986,,yes
49,32,no,travel_rarely,0,,8,2,technical degree,436,3,female,65,2,2, sales executive ,2,married,0.0,24624,1,yes,11,4,0,0,2,3,13,11,9,1991,,no
50,38,no,,1333,,1,3,,2086,4,female,80,3,3, research director ,1,married,0.0,16292,1,,13,2,1,15,3,3,15,5,11,1985,,no
51,46,no,,228,,3,3,life sciences,1527,3,female,51,3,4, manager ,2,,0.0,11380,8,no,12,4,1,23,2,4,13,5,1,1977,,yes
52,35,yes,travel_rarely,737,,10,3,medical,2087,4,male,55,2,3, sales executive ,1,married,10306.0,21530,9,,17,3,0,15,3,0,13,6,0,1988,,no
53,43,no,,823,,6,3,medical,1866,1,female,81,2,5, manager ,3,married,0.0,22539,7,no,13,4,0,21,2,3,16,6,14,1980,,yes
54,56,no,non-travel,667,,1,4,life sciences,2026,3,male,57,3,2, healthcare representative ,3,divorced,0.0,26236,1,no,21,1,1,0,2,2,13,1,9,1967,,yes
55,36,no,non-travel,301,,15,4,marketing,2088,4,male,88,1,2, sales executive ,4,divorced,5406.0,10436,1,no,24,1,1,0,4,2,15,11,11,1987,,no
56,38,no,,573,,6,3,medical,107,2,female,79,1,2, research scientist ,4,,0.0,15717,7,,12,4,3,17,3,3,13,1,9,1985,,yes
57,49,no,,0,,0,4,medical,170,3,female,96,3,2, manufacturing director ,1,,0.0,5549,1,no,14,3,0,16,2,2,15,5,11,1974,,no
58,39,no,travel_rarely,1329,,4,4,life sciences,2089,4,female,47,2,2, sales executive ,3,married,5902.0,14590,4,,14,3,1,17,1,4,15,5,9,1984,,yes
59,40,no,,630,,4,4,,215,3,male,67,2,3, sales executive ,4,married,10855.0,8552,7,no,11,1,1,15,2,2,12,2,11,1983,,yes
60,36,no,,0,,5,2,,304,4,male,62,3,2, laboratory technician ,2,single,5914.0,9945,8,no,16,4,0,16,3,4,13,3,7,1987,,no
61,37,no,,1063,,25,5,,529,2,female,72,3,2, research scientist ,3,married,0.0,23866,3,yes,15,1,2,15,2,3,13,10,7,1986,,no
62,35,no,,1017,,6,4,,691,2,male,82,1,2, research scientist ,4,,6646.0,19368,1,,13,2,0,0,3,3,17,11,8,1988,,yes
63,33,no,travel_frequently,1296,,6,3,life sciences,692,3,male,0,3,2, healthcare representative ,4,divorced,0.0,5335,3,no,23,3,1,15,2,1,13,4,7,1990,,no
64,50,no,travel_rarely,939, research & development ,24,3,,1005,4,male,0,3,4, manufacturing director ,3,married,13973.0,4161,3,yes,18,4,1,22,2,3,12,1,5,1973, manufacturing director  -  research & development ,no
65,48,no,travel_rarely,1355,,4,4,,1024,3,male,78,2,3, healthcare representative ,3,single,0.0,22245,7,,14,2,0,27,3,3,15,4,8,1975,,yes
66,44,no,travel_rarely,1448, sales ,28,3,,1039,4,female,53,4,4, sales executive ,4,married,13320.0,11737,3,,18,3,1,0,2,3,12,11,11,1979, sales executive  -  sales ,no
67,44,no,travel_rarely,200,,29,4,,1225,4,male,32,3,2, research scientist ,4,single,0.0,7744,1,,25,2,0,0,3,3,20,13,17,1979,,yes
68,40,no,,1202,,0,1,,1375,25,female,89,4,2, healthcare representative ,3,,0.0,13888,5,no,20,2,3,15,0,3,12,11,8,1983,,no
69,34,no,travel_rarely,404,,2,4,,2090,3,female,98,3,2, healthcare representative ,4,single,6687.0,6163,1,,11,4,0,14,2,4,14,4,11,1989,,no
70,35,no,non-travel,208, research & development ,8,4,,2091,3,female,52,3,2, healthcare representative ,3,,0.0,12250,1,,12,4,1,0,5,3,14,2,9,1988, healthcare representative  -  research & development ,no
71,50,no,,813,,17,5,life sciences,2092,4,female,50,2,3, research director ,1,,0.0,21981,5,no,15,3,3,0,3,3,14,1,11,1973,,no
72,49,no,,465,,6,1,life sciences,1661,3,female,41,2,4, healthcare representative ,3,,0.0,11652,2,,19,2,1,0,3,3,15,2,12,1974,,yes
73,38,no,travel_frequently,1189,,1,3,life sciences,1668,4,male,90,3,2, research scientist ,4,,4735.0,9867,7,no,15,4,2,19,4,0,13,2,9,1985,,no
74,33,no,,0,,21,3,,1698,2,male,79,4,1, laboratory technician ,2,,0.0,13637,1,no,18,4,3,14,6,0,14,2,13,1990,,no
75,47,no,travel_rarely,1001,,4,3,life sciences,2093,3,female,92,2,3, manufacturing director ,2,divorced,0.0,19271,8,yes,12,3,1,0,4,3,22,14,10,1976,,yes
76,38,no,,1394, research & development ,8,3,,1937,4,female,58,2,2, research scientist ,2,divorced,0.0,18115,1,,16,3,1,20,3,3,20,0,7,1985, research scientist  -  research & development ,no
77,37,no,travel_rarely,161,,10,3,life sciences,2017,3,female,42,4,3, research director ,4,,0.0,15471,1,yes,25,1,1,16,2,3,16,6,8,1986,,yes
78,30,no,,288,,2,3,,117,3,male,99,2,2, healthcare representative ,4,married,0.0,15830,1,no,19,1,3,11,3,3,11,10,8,1993,,yes
79,0,no,travel_rarely,682,,0,4,,131,4,male,37,3,4, sales executive ,3,single,13872.0,24409,0,,13,3,0,38,1,2,37,1,8,1965,,no
80,34,no,travel_rarely,1354,,5,3,,153,3,female,45,2,3, manager ,1,single,0.0,5615,2,,12,4,0,14,6,3,11,5,8,1989,,no
81,58,yes,travel_rarely,147,,23,4,medical,2094,4,female,94,3,3, healthcare representative ,4,married,0.0,3465,1,,12,4,1,40,3,2,40,15,6,1965,,yes
82,38,no,,119,,3,3,life sciences,307,1,male,76,3,3, sales executive ,3,divorced,0.0,9647,0,,12,3,2,0,6,2,16,5,13,1985,,no
83,29,no,travel_frequently,1413,,1,1,,2095,2,female,42,3,3, sales executive ,4,married,0.0,6599,1,,14,4,1,11,5,3,11,4,1,1994,,no
84,55,no,travel_rarely,452,,1,3,medical,374,4,male,81,3,5, manager ,1,single,19045.0,18938,0,,14,3,0,37,2,3,36,4,13,1968,,no
85,41,no,,334,,0,4,,2096,4,male,88,3,4, manager ,2,,16015.0,15896,1,,19,2,0,0,2,3,22,0,4,1982,,yes
86,39,no,travel_rarely,1132, research & development ,1,3,,2097,3,male,48,4,3, healthcare representative ,4,,9613.0,10942,0,no,17,1,3,19,5,2,18,3,7,1984, healthcare representative  -  research & development ,no
87,38,no,,0,,15,2,life sciences,2098,3,male,92,2,3, research director ,4,,11510.0,15682,0,,14,2,1,0,3,3,11,2,9,1985,,no
88,43,no,,982,,12,3,,2099,1,male,59,2,4, research director ,2,,0.0,4345,1,no,11,3,1,0,3,0,25,3,9,1980,,no
89,31,no,,480,,0,2,,524,2,female,31,3,2, manufacturing director ,1,married,4306.0,4156,1,no,12,2,1,13,5,1,13,3,12,1992,,yes
90,50,no,travel_rarely,1099, research & development ,0,4,life sciences,569,27,male,88,2,4, manager ,3,married,17046.0,9314,0,no,15,2,1,28,2,3,27,15,7,1973, manager  -  research & development ,no
91,35,no,,672,,25,3,technical degree,899,4,male,78,2,3, manufacturing director ,2,married,0.0,9129,3,no,16,1,0,0,2,3,13,4,8,1988,,no
92,47,no,,1379,,16,4,,2100,3,male,64,4,2, manufacturing director ,3,,5067.0,6759,1,yes,19,3,0,20,3,0,19,2,7,1976,,yes
93,35,no,,583, research & development ,25,4,,1014,3,female,57,3,3, healthcare representative ,3,divorced,0.0,6975,1,yes,11,3,1,0,3,2,16,10,1,1988, healthcare representative  -  research & development ,no
94,40,no,travel_rarely,1492,,20,4,,2101,1,male,61,3,3, healthcare representative ,4,married,0.0,26542,4,,20,4,1,14,6,3,11,11,1,1983,,no
95,45,no,,1050, sales ,9,4,life sciences,1117,2,female,65,2,2, sales executive ,3,married,0.0,17970,1,,13,4,1,15,2,3,15,4,12,1978, sales executive  -  sales ,no
96,33,no,,117, research & development ,9,3,medical,1238,1,male,60,3,1, research scientist ,4,married,0.0,6311,0,,13,2,1,15,5,3,14,4,10,1990, research scientist  -  research & development ,no
97,36,no,travel_frequently,469,,3,3,,2102,3,male,46,3,1, research scientist ,2,married,3692.0,9256,1,no,12,3,0,12,2,2,11,0,7,1987,,no
98,45,yes,,0,,0,3,marketing,1277,1,female,94,1,5, manager ,2,,0.0,2493,2,yes,16,1,0,26,2,3,24,1,11,1978,,no
99,51,no,travel_frequently,237,,0,3,,2103,27,male,83,3,5, manager ,2,,19847.0,19196,4,yes,24,1,1,0,5,2,29,11,10,1972,,no
100,34,no,travel_rarely,1440,,7,2,technical degree,1541,2,male,55,3,1, sales representative ,3,,2308.0,4944,0,yes,25,2,1,12,4,3,11,5,7,1989,,no
101,43,no,travel_rarely,1291, research & development ,15,2,,1666,3,male,65,2,4, research director ,3,,0.0,3525,1,no,24,1,1,0,3,3,14,6,11,1980, research director  -  research & development ,no
102,34,no,,1157,,5,2,medical,1696,2,male,57,2,2, laboratory technician ,4,,0.0,11912,1,no,14,3,1,0,3,0,15,4,13,1989,,no
103,38,no,,1336,,2,3,,1805,1,male,100,3,1, human resources ,2,divorced,0.0,7129,5,no,13,4,3,13,3,3,11,3,8,1985,,no
104,48,no,,1224,,10,3,,2104,4,male,91,2,5, research director ,2,,0.0,13583,4,no,12,4,0,29,3,3,22,12,9,1975,,no
105,34,no,,735, research & development ,22,4,other,1932,3,male,86,2,2, research scientist ,4,married,5747.0,26496,1,yes,15,2,0,16,3,3,15,6,11,1989, research scientist  -  research & development ,no
106,32,no,travel_rarely,0,,0,4,,2016,31,female,48,3,3, sales executive ,4,,10422.0,24032,1,no,19,3,2,14,3,3,14,5,7,1991,,yes
107,29,no,travel_rarely,1389,,21,4,life sciences,20,2,female,51,4,3, manufacturing director ,1,divorced,0.0,10195,1,no,11,3,1,10,1,3,10,8,8,1994,,no
108,46,no,,638,,1,3,medical,2105,3,male,40,2,3, healthcare representative ,1,married,0.0,3142,2,yes,13,3,1,21,5,2,10,9,5,1977,,no
109,30,no,,1240, human resources ,9,3,,184,3,male,48,3,2, human resources ,4,married,6347.0,13982,0,yes,19,4,0,0,2,1,11,4,7,1993, human resources  -  human resources ,no
110,45,no,,194,,9,3,life sciences,206,2,male,60,3,2, laboratory technician ,2,,2348.0,10901,8,no,18,3,1,20,2,0,17,0,15,1978,,yes
111,30,no,travel_rarely,1339,,5,3,,228,2,female,41,3,3, sales executive ,4,,0.0,8053,2,no,12,3,1,0,2,3,10,7,4,1993,,no
112,30,no,,111,,9,3,,239,3,male,66,3,2, laboratory technician ,1,,3072.0,11012,1,no,11,3,2,12,4,3,12,6,10,1993,,yes
113,34,no,travel_frequently,0,,0,1,,256,4,male,45,2,2, manufacturing director ,3,married,0.0,14074,1,,17,3,0,10,2,2,10,1,9,1989,,no
114,51,no,travel_rarely,1469,,8,4,life sciences,2106,2,male,81,2,3, research director ,2,married,12490.0,15736,5,no,16,4,2,16,5,1,10,4,7,1972,,no
115,34,no,,470,,0,4,life sciences,339,39,male,84,2,2, manufacturing director ,1,,0.0,23687,6,,13,2,1,13,3,3,11,5,9,1989,,no
116,35,no,travel_rarely,1232,,16,3,,406,3,male,96,3,3, sales executive ,2,married,8020.0,5100,0,,15,3,2,12,3,2,11,6,9,1988,,no
117,45,no,travel_frequently,1249,,7,3,life sciences,2107,1,male,97,3,3, laboratory technician ,1,,0.0,20308,1,,18,1,1,24,2,3,24,9,11,1978,,yes
118,39,no,,117,,10,1,,429,3,male,99,3,4, manager ,1,married,17068.0,5355,1,,14,4,0,21,3,3,21,11,10,1984,,yes
119,31,no,,798,,7,2,,2108,3,female,48,2,3, manufacturing director ,3,married,8943.0,14034,1,no,24,1,1,10,2,3,10,8,9,1992,,no
120,39,no,,672, research & development ,7,2,,444,3,male,54,2,5, manager ,4,married,19272.0,21141,1,,15,1,1,0,2,3,21,13,3,1984, manager  -  research & development ,no
121,45,no,travel_rarely,549,,8,4,,452,4,male,75,3,2, research scientist ,4,,0.0,9278,9,no,14,1,2,12,3,3,10,9,8,1978,,no
122,30,no,travel_rarely,570, sales ,5,3,marketing,456,4,female,30,2,2, sales executive ,3,,0.0,5431,1,,13,3,3,10,2,3,10,1,2,1993, sales executive  -  sales ,yes
123,31,no,,1232,,7,4,medical,2109,3,female,39,3,3, manufacturing director ,4,,0.0,25713,1,,14,3,0,11,2,2,11,4,10,1992,,no
124,36,no,,541,,3,4,medical,481,1,male,48,2,3, sales executive ,4,married,0.0,7246,4,no,11,1,1,16,2,3,13,1,12,1987,,no
125,36,no,travel_rarely,164,,2,2,,513,2,male,61,2,3, sales executive ,3,married,0.0,3809,1,,13,2,2,10,2,3,10,9,0,1987,,no
126,55,no,travel_rarely,1117,,18,5,,597,1,female,83,3,4, manager ,2,single,0.0,9873,3,no,23,4,0,37,2,3,10,7,7,1968,,no
127,35,no,,619,,1,3,,600,2,male,85,3,2, sales executive ,3,,0.0,18659,9,,11,3,0,15,2,3,11,6,9,1988,,no
128,42,no,travel_rarely,319,,24,3,medical,2110,4,male,56,3,3, manufacturing director ,1,married,0.0,6950,1,,21,4,1,10,5,2,10,5,8,1981,,no
129,52,no,travel_rarely,956,,6,2,,630,4,male,78,3,2, research scientist ,1,divorced,5577.0,22087,3,yes,12,2,2,18,3,3,10,6,9,1971,,yes
130,49,no,,1245,,18,4,life sciences,638,4,male,58,2,5, research director ,3,,0.0,2125,1,yes,17,3,1,0,5,3,31,0,9,1974,,no
131,34,no,travel_rarely,1397, research & development ,1,5,,683,2,male,42,3,1, research scientist ,4,married,2691.0,7660,1,no,12,4,1,0,4,2,10,8,8,1989, research scientist  -  research & development ,yes
132,33,yes,travel_rarely,527,,1,4,other,780,4,male,63,3,1, research scientist ,4,single,0.0,5207,1,,13,3,0,10,2,2,10,7,8,1990,,no
133,33,no,,213, research & development ,7,3,medical,817,3,male,49,3,3, research director ,3,married,0.0,25995,0,no,11,4,0,0,3,4,13,3,7,1990, research director  -  research & development ,no
134,53,no,travel_rarely,0,,23,4,,901,4,female,72,3,4, research director ,4,,0.0,20206,6,no,18,3,0,33,0,3,12,3,8,1970,,no
135,49,no,travel_rarely,527,,8,2,other,944,1,female,51,3,3, laboratory technician ,2,married,7403.0,22477,4,,11,3,1,29,3,2,26,1,7,1974,,no
136,35,no,,882,,0,4,,984,21,male,0,3,3, sales executive ,4,,0.0,6812,6,,13,2,1,0,2,3,10,0,8,1988,,no
137,38,no,travel_rarely,330,,17,1,life sciences,1088,3,female,65,2,3, healthcare representative ,3,married,8823.0,24608,0,,18,1,1,20,4,2,19,1,9,1985,,no
138,46,no,,406, sales ,3,1,marketing,1124,1,male,0,3,4, manager ,3,married,0.0,15596,3,no,12,4,1,0,3,3,12,4,9,1977, manager  -  sales ,no
139,36,no,non-travel,217,,18,4,,2111,1,male,78,3,2, manufacturing director ,4,single,0.0,23238,2,,20,1,0,18,0,3,11,0,9,1987,,no
140,42,yes,travel_frequently,481,,0,3,life sciences,1167,15,male,44,3,4, sales executive ,1,single,0.0,2447,0,,12,2,0,0,2,2,21,13,14,1981,,yes
141,34,no,travel_frequently,669,,1,3,,1184,4,male,97,2,2, healthcare representative ,1,single,0.0,25755,0,no,20,3,0,14,3,3,13,4,9,1989,,no
142,30,no,travel_rarely,1465, research & development ,1,3,medical,2112,4,male,63,3,1, research scientist ,2,,3579.0,9369,0,yes,21,1,1,12,2,3,11,5,7,1993, research scientist  -  research & development ,no
143,54,no,travel_rarely,685,,3,3,life sciences,2113,4,male,85,3,4, research director ,4,married,17779.0,23474,3,no,14,1,0,36,2,3,10,0,9,1969,,no
144,31,no,travel_rarely,1062,,24,3,medical,1252,3,female,96,2,2, healthcare representative ,1,single,0.0,17198,1,no,19,2,0,10,2,3,10,1,8,1992,,no
145,44,no,,1099,,5,3,,1267,2,male,88,3,5, manager ,2,married,18213.0,8751,7,no,11,3,1,26,5,3,22,3,10,1979,,no
146,55,no,non-travel,177,,8,1,,1278,4,male,37,2,4, healthcare representative ,2,divorced,13577.0,25592,1,yes,15,4,1,0,3,3,33,15,0,1968,,no
147,44,no,travel_rarely,1199,,4,2,life sciences,1288,3,male,92,4,5, manager ,1,divorced,19190.0,17477,1,no,14,4,2,0,4,2,25,14,13,1979,,no
148,34,no,travel_frequently,648, human resources ,11,3,life sciences,2114,3,male,56,2,2, human resources ,2,,0.0,21833,4,no,11,4,2,14,5,4,10,1,8,1989, human resources  -  human resources ,no
149,39,no,,412,,13,4,,1307,3,female,94,2,4, manager ,2,divorced,17123.0,17334,6,yes,13,4,2,0,4,3,19,15,2,1984,,no
